factor,ic_mean,ic_std,icir,ic_t,ic_pvalue,positive_ratio,n_dates,top_minus_bottom,monotonic_score,autocorr_lag1,abs_icir,abs_monotonic,has_persistence,score
volume_ma_ratio_5_20_lag4,-0.03451595880249472,0.11078091645376041,-0.3115695365898293,-4.994839643633803,1.0911070242781757e-06,0.3735408560311284,257,-0.011484174265510634,-0.5,0.8381998768379065,0.3115695365898293,0.5,1.0,0.8615695365898293
realized_vol_10_lag3,0.056394093449101804,0.1874074638181387,0.30091700885417755,4.82406663282759,2.417704593789999e-06,0.642023346303502,257,0.01718870312224869,0.5,0.9203537149379709,0.30091700885417755,0.5,1.0,0.8509170088541775
parkinson_vol_10_lag3,0.054309391736569144,0.1806075429223405,0.3007038956281115,4.820650167913246,2.455967793854313e-06,0.6342412451361867,257,0.008847319199223568,0.5,0.9144695212794932,0.3007038956281115,0.5,1.0,0.8507038956281114
momentum_5_lag15,0.04254170252238222,0.14177083092226928,0.300073733402234,4.810547898923202,2.5725613727026636e-06,0.603112840466926,257,0.004657531565061074,0.5,0.6938433147634766,0.300073733402234,0.5,1.0,0.8500737334022339
return_skew_20_lag1,-0.02943271054221376,0.09954827334235189,-0.2956626926214288,-4.739833535757922,3.5518944048048912e-06,0.39299610894941633,257,-0.004486636340645285,-0.5,0.8543452743964117,0.2956626926214288,0.5,1.0,0.8456626926214288
alpha042_lag15,0.010447247686507108,0.24089457382390672,0.043368547164304404,0.6952507008034019,0.48752879520472436,0.5447470817120622,257,-0.028858658172968264,-1.0,0.4802110382528197,0.043368547164304404,1.0,1.0,0.8433685471643044
risk_adj_mom_20_lag4,0.038945531631183035,0.13718045305935048,0.2839000073453135,4.551263345694463,8.245906175326457e-06,0.6147859922178989,257,0.018945603489833086,0.5,0.8746581456330699,0.2839000073453135,0.5,1.0,0.8339000073453136
momentum_40_lag3,0.05022781473636738,0.17968354320965121,0.27953486356712454,4.481284767454437,1.1195958310863925e-05,0.6342412451361867,257,0.018199821211944238,0.5,0.9138995431397804,0.27953486356712454,0.5,1.0,0.8295348635671245
parkinson_vol_10_lag2,0.050641911784842335,0.1817211433386817,0.27867924917497783,4.46756822529074,1.1882539765613506e-05,0.642023346303502,257,0.008137612307691444,0.5,0.9135826929600253,0.27867924917497783,0.5,1.0,0.8286792491749779
momentum_40_lag15,0.04894870941456591,0.17592818679188432,0.27823119368853716,4.460385349420665,1.2258024864443165e-05,0.5914396887159533,257,0.02585200824039681,0.5,0.9089279739264727,0.27823119368853716,0.5,1.0,0.8282311936885371
momentum_60_lag10,0.05090484703795706,0.1852954229846655,0.27472263598313373,4.404138890569984,1.5618481935802835e-05,0.5680933852140078,257,0.0207463766953275,0.5,0.9280631049882903,0.27472263598313373,0.5,1.0,0.8247226359831337
mfi_14_lag1,0.03495414295116706,0.12808561346065864,0.27289671343068667,4.374867125265232,1.7700529945255766e-05,0.642023346303502,257,0.018742763108695954,0.5,0.9035940985120223,0.27289671343068667,0.5,1.0,0.8228967134306866
return_kurt_20_lag2,-0.02080391815917876,0.07712292446839442,-0.26975012037704005,-4.324423401213265,2.192709322165907e-05,0.3852140077821012,257,0.0038545438915843916,0.5,0.85065453392713,0.26975012037704005,0.5,1.0,0.8197501203770401
momentum_60_lag7,0.05005928784957702,0.18657510796273827,0.2683063587430676,4.301278141492906,2.417514647556903e-05,0.603112840466926,257,0.019081041535085684,0.5,0.9298410037646858,0.2683063587430676,0.5,1.0,0.8183063587430677
mfi_14_lag7,0.060163165805672866,0.11611050145698794,0.5181543878523318,8.306646748249896,5.773717127621462e-15,0.7003891050583657,257,0.01904352535090933,0.0,0.9071620011182847,0.5181543878523318,0.0,1.0,0.8181543878523319
momentum_20_lag3,0.04390713525110354,0.1674667849815732,0.262184141505641,4.20313153287663,3.640325215954655e-05,0.6108949416342413,257,0.013538082258030257,0.5,0.8735112026069899,0.262184141505641,0.5,1.0,0.812184141505641
return_kurt_20_lag3,-0.01972866272725669,0.07555915426152987,-0.2611022174622371,-4.185786971009182,3.9104131079796984e-05,0.38132295719844356,257,0.0029839368718288517,0.5,0.8504788283796865,0.2611022174622371,0.5,1.0,0.8111022174622371
realized_vol_10_lag1,0.04986142317547655,0.1950667231106088,0.2556121432726565,4.097774386374799,5.6026610304648516e-05,0.6303501945525292,257,0.018378741429456683,0.5,0.9189627832574648,0.2556121432726565,0.5,1.0,0.8056121432726566
donchian_pos_20_lag10,0.030005363634258028,0.11906411132170047,0.2520101422769305,4.04002991762224,7.070381584145619e-05,0.5992217898832685,257,0.004125313204911538,0.5,0.795596715812515,0.2520101422769305,0.5,1.0,0.8020101422769306
risk_adj_mom_20_lag3,0.03461654601127335,0.13805187863625945,0.25075027122580046,4.019832648207113,7.665153010029338e-05,0.6186770428015564,257,0.019683356042423546,0.5,0.8740064208832117,0.25075027122580046,0.5,1.0,0.8007502712258006
